Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Unit_Price,Profit_Margin,Revenue,Discount_Band,Price_Segment,Market_Benchmark_Price_x,Market_Benchmark_Price_y,Market_Benchmark_Price,Price_vs_Market
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,130.98,16.000000000000004,261.96,No Discount,Premium,102.833,102.833,102.833,Overpriced
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,243.98,30.0,731.94,No Discount,Premium,105.623,105.623,105.623,Overpriced
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,7.31,47.0,14.62,No Discount,Premium,3.984,3.984,3.984,Overpriced
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,191.5155,-40.0,957.5775,High (41%+),Premium,145.49,145.49,145.49,Overpriced
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,11.184,11.25,22.368,Low (1-20%),Low,37.208,37.208,37.208,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,6.98,29.0,48.86,No Discount,Low,14.136,14.136,14.136,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,1.82,27.0,7.28,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152,151.192,10.0,907.152,Low (1-20%),Premium,69.99,69.99,69.99,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,6.168,31.249999999999996,18.504,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,22.98,30.0,114.9,No Discount,Mid,30.448,30.448,30.448,Fair
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,189.576,5.0,1706.184,Low (1-20%),Mid,145.49,145.49,145.49,Overpriced
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,227.856,7.500000000000001,911.424,Low (1-20%),Premium,69.99,69.99,69.99,Overpriced
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5.184,35.0,15.552,Low (1-20%),Low,6.48,6.48,6.48,Fair
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,135.992,32.49999999999999,407.976,Low (1-20%),Premium,5.390000000000001,5.390000000000001,5.390000000000001,Overpriced
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,13.762,-180.0,68.81,High (41%+),Low,30.448,30.448,30.448,Underpriced
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,0.848,-150.0,2.544,High (41%+),Low,5.390000000000001,5.390000000000001,5.390000000000001,Underpriced
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,110.98,2.0,665.88,No Discount,Premium,37.208,37.208,37.208,Overpriced
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,27.75,18.0,55.5,No Discount,Mid,37.208,37.208,37.208,Underpriced
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,4.28,29.0,8.56,No Discount,Mid,4.24,4.24,4.24,Fair
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,71.16,7.5,213.48,Low (1-20%),Mid,69.99,69.99,69.99,Fair
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,5.68,32.5,22.72,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2.78,26.0,19.46,No Discount,Low,4.24,4.24,4.24,Underpriced
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,8.620000000000001,26.0,60.34,No Discount,Low,30.448,30.448,30.448,Underpriced
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,35.686,-1.4285714285714286,71.372,Medium (21-40%),Low,105.623,105.623,105.623,Underpriced
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,348.21000000000004,23.0,1044.63,No Discount,Premium,145.49,145.49,145.49,Overpriced
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,5.824,36.25000000000001,11.648,Low (1-20%),Mid,5.390000000000001,5.390000000000001,5.390000000000001,Fair
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,30.19,13.0,90.57,No Discount,Mid,29.99,29.99,29.99,Fair
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,440.49,-54.0,3083.43,High (41%+),Premium,102.833,102.833,102.833,Overpriced
